sample_ID	population	sample_time	longitude	latitude	pop_name	country	year	month
CXD-10	CXD	2005.2	121.78	31.36N	Yangtze River estuary	China	2005	2
CXD-3	CXD	2005.2	121.78	31.36N	Yangtze River estuary	China	2005	2
CXD-5	CXD	2005.2	121.78	31.36N	Yangtze River estuary	China	2005	2
CXD-7	CXD	2005.2	121.78	31.36N	Yangtze River estuary	China	2005	2
CXD-9	CXD	2005.2	121.78	31.36N	Yangtze River estuary	China	2005	2
D10	DH	2006.3	121.91	30.85N	Yangtze River estuary	China	2006	3
D20	DH	2006.3	121.91	30.85N	Yangtze River estuary	China	2006	3
D22	DH	2006.3	121.91	30.85N	Yangtze River estuary	China	2006	3
JJ0030	DH	2006.3	121.91	30.85N	Yangtze River estuary	China	2006	3
JJC44	DH	2006.3	121.91	30.85N	Yangtze River estuary	China	2006	3
108	LCG07	2007.5	121.85	30.84N	Yangtze River estuary	China	2007	5
JJ-109	LCG07	2007.5	121.85	30.84N	Yangtze River estuary	China	2007	5
JJ-35	LCG07	2007.5	121.85	30.84N	Yangtze River estuary	China	2007	5
JJ-71	LCG07	2007.5	121.85	30.84N	Yangtze River estuary	China	2007	5
JJ-92	LCG07	2007.5	121.85	30.84N	Yangtze River estuary	China	2007	5
JJ-103	JDS	2008.1	121.91	31.18N	Yangtze River estuary	China	2008	1
JJ-107	JDS	2008.1	121.91	31.18N	Yangtze River estuary	China	2008	1
JJ-52	JDS	2008.1	121.91	31.18N	Yangtze River estuary	China	2008	1
JJ-97	JDS	2008.1	121.91	31.18N	Yangtze River estuary	China	2008	1
JJC-73	JDS	2008.1	121.91	31.18N	Yangtze River estuary	China	2008	1
LCG09-2	LCG09	2009.3	121.85	30.84N	Yangtze River estuary	China	2009	3
LCG09-3	LCG09	2009.3	121.85	30.84N	Yangtze River estuary	China	2009	3
LCG09-4	LCG09	2009.3	121.85	30.84N	Yangtze River estuary	China	2009	3
LCG09-5	LCG09	2009.3	121.85	30.84N	Yangtze River estuary	China	2009	3
117	LCG09	2009.3	121.85	30.84N	Yangtze River estuary	China	2009	3
XH-13	XH	2009.1	113.09	22.20N	Guangdong province	China	2009	1
XHDC-2	XH	2009.1	113.09	22.20N	Guangdong province	China	2009	1
XHDC-5	XH	2009.1	113.09	22.20N	Guangdong province	China	2009	1
XHDC-6	XH	2009.1	113.09	22.20N	Guangdong province	China	2009	1
XHDC-7	XH	2009.1	113.09	22.20N	Guangdong province	China	2009	1
FQ-6	FQ	2009.1	119.51	25.66N	Fujian province	China	2009	1
FQ-10	FQ	2009.1	119.51	25.66N	Fujian province	China	2009	1
FQ-14	FQ	2009.1	119.51	25.66N	Fujian province	China	2009	1
FQ-26	FQ	2009.1	119.51	25.66N	Fujian province	China	2009	1
FQ-27	FQ	2009.1	119.51	25.66N	Fujian province	China	2009	1
CX-29	CX	2009.2	121.13	30.45N	Zhejiang province	China	2009	2
26	CX	2009.2	121.13	30.45N	Zhejiang province	China	2009	2
27	CX	2009.2	121.13	30.45N	Zhejiang province	China	2009	2
28	CX	2009.2	121.13	30.45N	Zhejiang province	China	2009	2
31	CX	2009.2	121.13	30.45N	Zhejiang province	China	2009	2
DF-5	DF	2009.2	120.81	33.28N	Jiangsu province	China	2009	2
DFDC-11	DF	2009.2	120.81	33.28N	Jiangsu province	China	2009	2
DFDC-13	DF	2009.2	120.81	33.28N	Jiangsu province	China	2009	2
DFDC-14	DF	2009.2	120.81	33.28N	Jiangsu province	China	2009	2
DFDC-19	DF	2009.2	120.81	33.28N	Jiangsu province	China	2009	2
Q-6	Q	2001.1	139.86	35.40N	Chiba-ken	Japan	2001	1
Q-14	Q	2001.1	139.86	35.40N	Chiba-ken	Japan	2001	1
Q-19	Q	2001.1	139.86	35.40N	Chiba-ken	Japan	2001	1
Q-20	Q	2001.1	139.86	35.40N	Chiba-ken	Japan	2001	1
Q-30	Q	2001.1	139.86	35.40N	Chiba-ken	Japan	2001	1
H-22	H	2001.1	134	34.27N	Kagawa	Japan	2001	1
H-25	H	2001.1	134	34.27N	Kagawa	Japan	2001	1
H-26	H	2001.1	134	34.27N	Kagawa	Japan	2001	1
HDC-3	H	2001.1	134	34.27N	Kagawa	Japan	2001	1
HDC-4	H	2001.1	134	34.27N	Kagawa	Japan	2001	1
HM2	HM	2014.7	110.82	19.55	Hainan province	China	2014	7
HM3	HM	2014.7	110.82	19.55	Hainan province	China	2014	7
HM4	HM	2014.7	110.82	19.55	Hainan province	China	2014	7
HM5	HM	2014.7	110.82	19.55	Hainan province	China	2014	7
HM6	HM	2014.7	110.82	19.55	Hainan province	China	2014	7
