reads_processed	reads_aligned	reads_failing_alignment
108.log	889408	451	888957
117.log	586757	234	586523
26.log	755703	1740	753963
27.log	704243	1862	702381
28.log	1105027	2937	1102090
31.log	1530568	2713	1527855
CX-29.log	1049027	1106	1047921
CXD-10.log	622766	569	622197
CXD-3.log	340340	81	340259
CXD-5.log	481545	249	481296
CXD-7.log	1098469	548	1097921
CXD-9.log	892573	910	891663
D10.log	1699200	1045	1698155
D20.log	305963	988	304975
D22.log	733348	855	732493
DF-5.log	556103	739	555364
DFDC-11.log	1445952	902	1445050
DFDC-13.log	936932	390	936542
DFDC-14.log	1190244	1066	1189178
DFDC-19.log	1142402	2192	1140210
FQ-10.log	592587	595	591992
FQ-14.log	466671	518	466153
FQ-26.log	913891	694	913197
FQ-27.log	729984	907	729077
FQ-6.log	684795	718	684077
H-22.log	329383	177	329206
H-25.log	400942	356	400586
H-26.log	322693	293	322400
HDC-3.log	356724	298	356426
HDC-4.log	357285	248	357037
HM2.log	556072	238	555834
HM3.log	572232	279	571953
HM4.log	520302	314	519988
HM5.log	1060536	503	1060033
HM6.log	1171045	917	1170128
JJ-103.log	1836901	1233	1835668
JJ-107.log	24973	3	24970
JJ-109.log	1288114	813	1287301
JJ-35.log	962895	743	962152
JJ-52.log	2571524	1881	2569643
JJ-71.log	2375080	1184	2373896
JJ-92.log	577175	404	576771
JJ-97.log	3137359	2201	3135158
JJ0030.log	1859609	353	1859256
JJC-73.log	1451156	981	1450175
JJC44.log	2032064	1170	2030894
LCG09-2.log	525302	309	524993
LCG09-3.log	547844	320	547524
LCG09-4.log	529232	424	528808
LCG09-5.log	501837	348	501489
Q-14.log	896375	983	895392
Q-19.log	853365	1073	852292
Q-20.log	539383	610	538773
Q-30.log	1201601	1439	1200162
Q-6.log	1358210	1696	1356514
XH-13.log	1027798	781	1027017
XHDC-2.log	1354019	1525	1352494
XHDC-5.log	570063	495	569568
XHDC-6.log	789493	805	788688
XHDC-7.log	934490	887	933603
