reads_processed	reads_aligned	reads_failing_alignment	reads_ambiguous_alignment
108	2202592	1313184	676576	212832
117	1418574	831817	445613	141144
26	1826415	1070712	587780	167923
27	1727433	1023190	540517	163726
28	2693164	1588137	849302	255725
31	3737021	2206453	1186666	343902
CX-29	2363991	1314964	755531	293496
CXD-10	1144759	521993	507322	115444
CXD-3	739032	398692	243542	96798
CXD-5	1024728	543183	355736	125809
CXD-7	2430450	1331981	770370	328099
CXD-9	1964254	1071681	648282	244291
D10	2998641	1299441	1404888	294312
D20	613716	307753	230468	75495
D22	1356205	622857	593556	139792
DF-5	1254829	698726	409558	146545
DFDC-11	3271905	1825953	1039191	406761
DFDC-13	2134529	1197597	678003	258929
DFDC-14	2685904	1495660	874877	315367
DFDC-19	2597303	1454901	819709	322693
FQ-10	1306311	713724	433830	158757
FQ-14	1024124	557453	346681	119990
FQ-26	2040121	1126230	674468	239423
FQ-27	1641449	911465	541774	188210
FQ-6	1530451	845656	503330	181465
H-22	709959	380576	244732	84651
H-25	867790	466848	297116	103826
H-26	698286	375593	239334	83359
HDC-3	787522	430798	261958	94766
HDC-4	774313	417028	262759	94526
HM2	931843	375771	486744	69328
HM3	973658	401426	503107	69125
HM4	891426	371124	457643	62659
HM5	1802455	741919	925531	135005
HM6	2023502	852457	1020861	150184
JJ-103	4136808	2299907	1295321	541580
JJ-107	35985	11012	21555	3418
JJ-109	2791497	1503383	943266	344848
JJ-35	2198290	1235395	730085	232810
JJ-52	5722356	3150832	1840264	731260
JJ-71	5277768	2902688	1637526	737554
JJ-92	1315542	738367	433549	143626
JJ-97	7055579	3918220	2216984	920375
JJ0030	4253550	2393941	1359001	500608
JJC-73	3241122	1789966	1028121	423035
JJC44	4561733	2529669	1430259	601805
LCG09-2	1159344	634042	389318	135984
LCG09-3	1212933	665089	406511	141333
LCG09-4	1178285	649053	386987	142245
LCG09-5	1122960	621123	370545	131292
Q-14	2004359	1107984	651017	245358
Q-19	1851799	998434	632871	220494
Q-20	1191163	651780	399215	140168
Q-30	2661439	1459838	879646	321955
Q-6	3020633	1662423	971794	386416
XH-13	2320361	1292563	753543	274255
XHDC-2	3050811	1696792	985323	368696
XHDC-5	1278426	708363	425880	144183
XHDC-6	1764144	974651	587628	201865
XHDC-7	2067331	1132841	687053	247437
