V1	V2	V3	V4
CXD-10	CXD-3	1134	0.0471781305114638
CXD-10	CXD-5	2030	0.0633004926108374
CXD-10	CXD-7	5822	0.0650979045001718
CXD-10	CXD-9	5715	0.068241469816273
CXD-10	D10	5000	0.0619
CXD-10	D20	480	0.0510416666666667
CXD-10	D22	2517	0.0566150178784267
CXD-10	JJ0030	5177	0.0595904964265018
CXD-10	JJC44	5184	0.0633680555555556
CXD-10	108	5071	0.0605403273516072
CXD-10	JJ-109	5254	0.0580510087552341
CXD-10	JJ-35	5220	0.0625478927203065
CXD-10	JJ-71	5622	0.0643898968338669
CXD-10	JJ-92	3747	0.0575126768081132
CXD-10	JJ-103	5807	0.0628551747890477
CXD-10	JJ-52	5870	0.0690800681431005
CXD-10	JJ-97	5888	0.0648777173913044
CXD-10	JJC-73	5694	0.0649806814190376
CXD-10	117	2866	0.0521632937892533
CXD-10	LCG09-2	2500	0.049
CXD-10	LCG09-3	2552	0.0513322884012539
CXD-10	LCG09-4	2497	0.0500600720865038
CXD-10	LCG09-5	2424	0.0517739273927393
CXD-10	XH-13	5172	0.0598414539829853
CXD-10	XHDC-2	5390	0.0628014842300557
CXD-10	XHDC-5	3471	0.0622299049265341
CXD-10	XHDC-6	4740	0.0612869198312236
CXD-10	XHDC-7	5091	0.0634452956197211
CXD-10	FQ-10	3157	0.0574912891986063
CXD-10	FQ-14	2297	0.0568132346538964
CXD-10	FQ-26	4176	0.0572318007662835
CXD-10	FQ-27	3908	0.0565506653019447
CXD-10	FQ-6	3748	0.0582977588046958
CXD-10	26	4983	0.0627132249648806
CXD-10	27	4850	0.0605154639175258
CXD-10	28	5569	0.0638355180463279
CXD-10	31	5681	0.0619609223728217
CXD-10	CX-29	5331	0.0607765897580191
CXD-10	DF-5	3268	0.0563035495716034
CXD-10	DFDC-11	5582	0.063507703332139
CXD-10	DFDC-13	5062	0.0619320426708811
CXD-10	DFDC-14	5496	0.0592248908296943
CXD-10	DFDC-19	5375	0.062046511627907
CXD-10	Q-14	5013	0.0599441452224217
CXD-10	Q-19	4598	0.0585036972596781
CXD-10	Q-20	3172	0.057061790668348
CXD-10	Q-30	5316	0.0609480812641084
CXD-10	Q-6	5426	0.061555473645411
CXD-10	H-22	418	0.0514354066985646
CXD-10	H-25	570	0.0605263157894737
CXD-10	H-26	453	0.0529801324503311
CXD-10	HDC-3	483	0.05175983436853
CXD-10	HDC-4	500	0.053
CXD-10	HM2	1308	0.162079510703364
CXD-10	HM3	1563	0.161228406909789
CXD-10	HM4	1360	0.161397058823529
CXD-10	HM5	2331	0.167739167739168
CXD-10	HM6	2363	0.165467625899281
CXD-3	CXD-5	990	0.0661616161616162
CXD-3	CXD-7	2664	0.0643768768768769
CXD-3	CXD-9	2584	0.0642414860681115
CXD-3	D10	2326	0.0573946689595873
CXD-3	D20	288	0.0451388888888889
CXD-3	D22	1271	0.0558615263571991
CXD-3	JJ0030	2400	0.0641666666666667
CXD-3	JJC44	2404	0.0636439267886855
CXD-3	108	2391	0.0589711417816813
CXD-3	JJ-109	2434	0.062037797863599
CXD-3	JJ-35	2348	0.055366269165247
CXD-3	JJ-71	2593	0.0588121866563826
