Yangtze05	Yangtze06	Yangtze07	Yangtze08	Yangtze09	Guangdong09	Fujiang09	Zhejiang09	Jiangsu09	Chibaken01	Kagawa01	Hainan14
Yangtze05		0.0833002	0.0783667	0.0843416	0.0851351	0.0788888	0.0820416	0.077607	0.0780076	0.0791061	0.0856906	0.442969
Yangtze06			0.0790391	0.0841691	0.082624	0.078726	0.081195	0.0778617	0.0785587	0.0787332	0.0834928	0.428961
Yangtze07				0.079745	0.0784769	0.0754148	0.0772143	0.0746391	0.0753338	0.0752007	0.0785895	0.406924
Yangtze08					0.08445	0.0799111	0.0828935	0.0786721	0.0794592	0.0802004	0.0857908	0.420932
Yangtze09						0.0787428	0.0825263	0.0773761	0.0782959	0.0792333	0.0858377	0.443605
Guangdong09							0.0773355	0.0740944	0.0747895	0.0754649	0.0767933	0.405996
Fujiang09								0.0768765	0.0760244	0.0769675	0.0818083	0.429764
Zhejiang09									0.074434	0.0748176	0.0763453	0.398394
Jiangsu09										0.0754232	0.0780178	0.403788
Chibaken01											0.0792101	0.410027
Kagawa01												0.467058
