He	Ho	Fis	Pi	Private
Fujiang09-Chibaken01	9.59232693276135e-14	0	0.982648162090175	9.70334923522387e-14	1.01807451358127e-13
Guangdong09-Chibaken01	0.994173696643645	0.999999960722149	0.983357198524376	0.993776550293684	0.999882790951177
Jiangsu09-Chibaken01	3.21915101852976e-06	0.118501710693727	0.00196996006139694	1.45279799681486e-05	0.00116186169326704
Kagawa01-Chibaken01	0	0	0	0	0
Yangtze05-Chibaken01	0	0	1.24442505189393e-08	0	0
Yangtze06-Chibaken01	0.00160298197516906	0.999999999240231	2.25969396527859e-07	0.109947262811953	9.6734054100267e-10
Yangtze07-Chibaken01	0.000943413319014819	0.574834028220092	0.0111676697994288	0.00169086313596978	0.0259211189475206
Yangtze08-Chibaken01	9.67004254448511e-14	0	0.133155415653507	8.62643290133747e-14	0.00137735606358036
Yangtze09-Chibaken01	0	6.99074098609032e-09	0	0	0
Zhejiang09-Chibaken01	3.53641227412993e-10	0.000377428941604641	0.000728098152569467	7.41421513072993e-09	9.84130170134101e-07
Guangdong09-Fujiang09	0	0	0.392470439168824	1.01474384450739e-13	1.29563026973756e-13
Jiangsu09-Fujiang09	0	0	1.06517596983879e-05	0	0
Kagawa01-Fujiang09	0	0	0	0	0
Yangtze05-Fujiang09	7.73243841178939e-08	0.182713831364248	2.58784806838053e-05	4.09077498153554e-06	0.00338999302301157
Yangtze06-Fujiang09	1.21929288887657e-08	0	0.000302463716605916	1.86558990478147e-10	0.00964869884181363
Yangtze07-Fujiang09	0	0	9.76425474609188e-05	0	0
Yangtze08-Fujiang09	0	0	0.890196538947081	0	0
Yangtze09-Fujiang09	9.82547376793264e-14	0.000176707286907329	0	1.33226762955019e-13	2.33648655978413e-11
Zhejiang09-Fujiang09	0	0	3.08795204317924e-06	0	0
Jiangsu09-Guangdong09	0.000635677764591835	0.236729088057226	0.120624279826322	0.0021805993698536	5.14043424796329e-05
Kagawa01-Guangdong09	0	0	0	0	0
Yangtze05-Guangdong09	0	0	4.1607828293877e-12	0	0
Yangtze06-Guangdong09	1.15419122337368e-05	0.999999999999765	9.3611562945739e-11	0.00334214619435358	7.21968933525829e-08
Yangtze07-Guangdong09	0.0479347933852626	0.772741171267138	0.325338894301041	0.0735860006423492	0.0021344249212415
Yangtze08-Guangdong09	2.24698037953885e-12	0	0.00234107788521276	7.71605002114484e-14	6.27016554918258e-05
Yangtze09-Guangdong09	0	1.13028209014487e-09	0	0	0
Zhejiang09-Guangdong09	3.28977601271596e-07	0.00138041920775056	0.0641297583209193	4.52993736610452e-06	1.67177771626115e-08
Kagawa01-Jiangsu09	0	0	0	0	0
Yangtze05-Jiangsu09	0	0	1.12909681604378e-13	0	0
Yangtze06-Jiangsu09	8.81517081552374e-14	0.205435698287102	9.02611319020252e-14	1.88848936488739e-13	1.04916075827077e-13
Yangtze07-Jiangsu09	0.988126459134527	0.999282073319759	0.999997457230239	0.995852920029944	0.999302791348861
Yangtze08-Jiangsu09	0.0510499622725075	1.18460796727504e-13	1.22796217638665e-10	5.32800149106727e-05	1
Yangtze09-Jiangsu09	0	1.22568621918617e-13	0	0	0
Zhejiang09-Jiangsu09	0.936744483354406	0.892939869278816	0.999999996720759	0.97311529967443	0.949698795693843
Yangtze05-Kagawa01	0	3.90798504668055e-14	9.97878668584917e-10	0	1.04471986617227e-13
Yangtze06-Kagawa01	0	0	4.04154487654296e-12	0	0
Yangtze07-Kagawa01	0	0	0	0	0
Yangtze08-Kagawa01	0	0	9.2148511043888e-14	0	0
Yangtze09-Kagawa01	0	0	0.000613374248704557	7.0832228971085e-14	1.11044506923008e-12
Zhejiang09-Kagawa01	0	0	0	0	0
Yangtze06-Yangtze05	0	0	0.999893588037315	0	9.40247879555045e-13
Yangtze07-Yangtze05	0	0	1.04471986617227e-13	0	0
Yangtze08-Yangtze05	0	0	0.0123981905288811	0	0
Yangtze09-Yangtze05	0.298910658549709	2.1939894345735e-11	0	0.141099183049653	0.0477529406799638
Zhejiang09-Yangtze05	0	0	1.06248343456627e-13	0	0
Yangtze07-Yangtze06	1.11466391672366e-13	0.726749768862774	8.8928864272475e-14	9.40256761339242e-11	1.08024700296028e-13
Yangtze08-Yangtze06	0	0	0.0761375487446265	0	9.84767822842514e-14
Yangtze09-Yangtze06	0	3.1412642487183e-09	0	0	8.79296635503124e-14
Zhejiang09-Yangtze06	8.79296635503124e-14	0.00112356671957026	9.35918009759007e-14	1.12687636999453e-13	0
Yangtze08-Yangtze07	0.000697663834930529	1.11688436277291e-13	2.75980016617439e-09	2.16097034266838e-07	0.999553102170721
Yangtze09-Yangtze07	0	1.0902390101819e-13	0	0	0
Zhejiang09-Yangtze07	0.254742847656735	0.374382727603094	0.999878052697598	0.451542909608799	0.500388172073236
Yangtze09-Yangtze08	0	0	0	0	0
Zhejiang09-Yangtze08	0.796639644755358	1.02917674382752e-13	2.17311724171054e-11	0.0128241120323774	0.939501632836144
Zhejiang09-Yangtze09	0	1.03805852802452e-13	0	0	0
